NAME,AGE,GENDER,SSN,BLOOD GROUP,RELIGION,SALARY,DISEASES,STATE,PINCODE
SHEA,90,M,1308,A+,HINDU,229510,HEPATITIS,UTTARAKHAND,248013
AIMAN,32,M,1662,A+,SIKH,223759,SWINE FLU,ANDHRA PRADESH,517619
DHARAM,94,F,1149,B-,MUSLIM,214146,SWINE FLU,ASSAM,788734
DARYN,39,M,1296,O-,SIKH,201227,EBOLA,HARYANA,125050
DIESIL,66,M,1188,B+,CHRISTIAN,216487,CHICKEN POX,JHARKHAND,825315
ANDREJS,19,F,1029,O-,CHRISTIAN,216177,BRAIN TUMOUR,ANDHRA PRADESH,516434
GEOFF,75,F,1833,B+,SIKH,219035,HEART ATTACK,ANDHRA PRADESH,516356
FRANCO,81,M,1099,O-,SIKH,211714,HEART ATTACK,UTTAR PRADESH,273207
EDUARDO,89,M,1042,A-,MUSLIM,231888,CHOLERA,ANDHRA PRADESH,522258
JAYMIE,42,F,1511,B+,HINDU,226756,STROKE,PUNJAB,143511
JON-PAUL,28,F,1775,B+,SIKH,214821,DIABETES,PUNJAB,142050
SEAMUS,16,F,1497,B-,HINDU,214419,MEASLES,ANDHRA PRADESH,515408
KADYN,73,F,1987,O-,MUSLIM,232716,ARTHRITIS,KERALA,680007
ABUBAKAR,28,F,1100,B-,SIKH,223486,BRAIN TUMOUR,HARYANA,136117
SHERWYN,22,M,1114,O-,CHRISTIAN,217868,MALARIA,ANDHRA PRADESH,521402
FINNEAN,46,F,1132,A+,HINDU,223767,HEART ATTACK,BIHAR,803111
ALFIE,44,M,1187,O+,CHRISTIAN,222999,MALARIA,ANDHRA PRADESH,533428
DOUGRAY,64,F,1181,AB+,SIKH,232279,HEPATITIS,ANDHRA PRADESH,533407
DARN,31,M,1799,AB+,SIKH,207737,ASTHMA,UTTAR PRADESH,262802
SOHAIL,34,F,1819,AB+,CHRISTIAN,201804,TYPHOID,UTTAR PRADESH,273155
SAMAR,53,M,1251,O-,MUSLIM,221662,TYPHOID,HIMACHAL PRADESH,177213
FAHAD,35,M,1381,B-,MUSLIM,204496,AIDS,HARYANA,136043
GIACOMO,57,M,1368,O+,SIKH,200788,STROKE,ANDHRA PRADESH,534195
RAJA,49,F,1303,O+,CHRISTIAN,201501,INFLUENZA,ASSAM,788001
ANNAN,63,M,1325,AB-,SIKH,206070,ARTHRITIS,ANDHRA PRADESH,533221
SHERIFF,30,F,1902,O+,HINDU,211868,DIABETES,ANDHRA PRADESH,533352
WEI,80,M,1594,AB+,SIKH,206953,TYPHOID,ANDHRA PRADESH,518502
JAE,53,F,1404,B-,SIKH,216479,CHOLERA,ANDHRA PRADESH,523169
CORI,21,M,1614,O+,CHRISTIAN,203484,SMALL POX,TAMIL NADU,635105
COBIE,83,M,1750,B+,SIKH,219557,CHICKEN POX,ASSAM,787060
TATE,48,F,1473,B+,CHRISTIAN,207655,ARTHRITIS,ANDHRA PRADESH,523368
JAYDEN-THOMAS,44,F,1123,B+,HINDU,217282,EBOLA,PUNJAB,144105
SHERIFF,82,M,1172,AB-,SIKH,229480,DENGUE,KERALA,676503
JAI-RAJARAM,23,F,1946,A-,MUSLIM,218786,AIDS,KERALA,680617
AMMER,60,F,1530,AB+,HINDU,220236,MALARIA,ASSAM,785667
ARAFAT,83,F,1246,A+,MUSLIM,222797,ARTHRITIS,ANDHRA PRADESH,532406
ZE,43,F,1962,O-,MUSLIM,201978,HEART ATTACK,HARYANA,135003
ZHUO,69,M,1619,A-,SIKH,210789,TETANUS,ARUNACHAL PRADESH,791101
TORIN,59,M,1104,AB-,MUSLIM,213489,BRAIN TUMOUR,HIMACHAL PRADESH,176314
ALDRED,36,M,1429,O+,HINDU,204279,ARTHRITIS,JHARKHAND,825108
ROGAN,75,M,1265,O+,HINDU,211929,MEASLES,HIMACHAL PRADESH,174101
THOM,81,M,1656,O+,CHRISTIAN,210239,HEART ATTACK,ANDHRA PRADESH,533436
SHAYAN,69,F,1585,A+,HINDU,201209,RABIES,ANDHRA PRADESH,521149
SEBASTIAN,76,F,1288,AB-,SIKH,201230,SMALL POX,ANDHRA PRADESH,535220
JAIDA,63,F,1240,O-,SIKH,230446,ARTHRITIS,HARYANA,125033
FRED,44,F,1435,AB+,CHRISTIAN,223206,SWINE FLU,KARNATAKA,571105
DOMINICK,78,M,1851,O-,SIKH,217576,MEASLES,HIMACHAL PRADESH,177204
SAIM,65,F,1557,A-,MUSLIM,226955,MALARIA,BIHAR,811317
JORDON,66,F,1278,A-,MUSLIM,202664,JAUNDICE,HARYANA,126111
ALASTAIR,87,F,1568,B+,MUSLIM,200773,RABIES,HIMACHAL PRADESH,176047
ANESU,33,M,1835,A+,CHRISTIAN,211905,SWINE FLU,HARYANA,126102
FARREN,83,M,1299,A+,HINDU,222816,CANCER,ANDHRA PRADESH,534341
SUHEYB,42,F,1910,B+,HINDU,225465,ASTHMA,KERALA,689691
SAHBIAN,74,M,1666,AB-,MUSLIM,223905,CHICKEN POX,ASSAM,784507
EDDIE,80,M,1829,O-,MUSLIM,218875,ARTHRITIS,KERALA,680596
THOMAS,66,M,1159,B+,CHRISTIAN,202065,MALARIA,ASSAM,786602
JEAN-LEWIS,68,F,1371,B+,HINDU,224747,HEART ATTACK,PUNJAB,144204
ZACHARIYA,54,M,1183,O+,HINDU,200795,STROKE,ANDHRA PRADESH,521213
ADEN,73,F,1481,AB-,SIKH,217763,EBOLA,ANDHRA PRADESH,515787
RONIN,63,M,1630,B+,SIKH,214171,MALARIA,ANDHRA PRADESH,535128
ESHAN,44,F,1182,A+,CHRISTIAN,230572,TYPHOID,BIHAR,803120
TITUS,24,M,1798,A-,HINDU,202586,JAUNDICE,UTTAR PRADESH,261502
ZACHARIAH,60,M,1685,A-,CHRISTIAN,202622,HYPERTENSION,ANDHRA PRADESH,522017
ERENCEM,86,M,1499,A-,CHRISTIAN,219052,JAUNDICE,HARYANA,132054
ALLEN,64,F,1165,B-,MUSLIM,211681,CANCER,UTTAR PRADESH,209825
RICARDS,65,F,1822,AB-,CHRISTIAN,225874,CHICKEN POX,KERALA,670102
DRE,43,M,1695,A-,CHRISTIAN,223296,CHICKEN POX,ANDHRA PRADESH,532421
KABEER,76,F,1587,B+,MUSLIM,220340,DENGUE,PUNJAB,142037
TARIQ-JAY,70,F,1805,AB+,CHRISTIAN,208304,JAUNDICE,ANDHRA PRADESH,524142
CONNOLLY,19,F,1906,A+,HINDU,220486,RABIES,KERALA,691541
DARRIUS,82,F,1861,A+,MUSLIM,220363,ARTHRITIS,HIMACHAL PRADESH,177026
EOGHAN,68,F,1158,AB+,HINDU,217437,INFLUENZA,ASSAM,784508
ZHUO,29,F,1042,AB-,MUSLIM,228394,SWINE FLU,HIMACHAL PRADESH,176063
EDIOMI,77,F,1427,O-,SIKH,216427,DIARRHEA,HIMACHAL PRADESH,176027
JORDON,41,F,1519,O+,MUSLIM,215346,CHOLERA,ANDHRA PRADESH,534275
DANIEL-JAMES,39,M,1536,AB-,SIKH,219291,INFLUENZA,ANDHRA PRADESH,523108
AMIR,17,M,1116,AB+,SIKH,221562,MEASLES,ANDHRA PRADESH,523356
RUSLAN,58,F,1686,B+,MUSLIM,205821,EBOLA,MAHARASHTRA,416713
VEERAN,39,M,1028,A+,MUSLIM,232091,DIARRHEA,ANDHRA PRADESH,524302
ZHI,52,F,1359,AB+,MUSLIM,214066,DIABETES,ANDHRA PRADESH,521324
ALESSANDRO,50,M,1550,O-,CHRISTIAN,217640,SMALL POX,ANDHRA PRADESH,522265
ALPHONSE,53,M,1839,A-,SIKH,228599,HYPERTENSION,HIMACHAL PRADESH,174303
EZEKIEL,72,M,1755,A+,CHRISTIAN,229420,TYPHOID,HIMACHAL PRADESH,173101
JOMUEL,85,M,1238,B+,MUSLIM,212012,INFLUENZA,KERALA,678571
ARIA,85,M,1027,O+,HINDU,220959,EBOLA,ANDHRA PRADESH,524308
GREG,33,M,1445,O+,CHRISTIAN,218801,SMALL POX,UTTAR PRADESH,284121
GRAHAM,49,F,1380,A+,MUSLIM,200637,RABIES,KERALA,686603
AMRO,36,M,1331,A-,HINDU,220275,BRAIN TUMOUR,ARUNACHAL PRADESH,791123
DAVIE,44,M,1433,B+,MUSLIM,218178,EBOLA,ANDHRA PRADESH,522549
SONNEEY,87,M,1414,B-,HINDU,202964,JAUNDICE,HIMACHAL PRADESH,177106
JARRED,18,F,1528,AB-,SIKH,202317,TYPHOID,ANDHRA PRADESH,535270
DAILEY,77,F,1989,AB+,MUSLIM,202560,ARTHRITIS,ANDHRA PRADESH,522402
CORMAK,67,F,1329,O-,MUSLIM,213798,EBOLA,MAHARASHTRA,410302
JIAN,64,M,1789,A+,HINDU,206104,JAUNDICE,JAMMU & KASHMIR,190018
CORMAC,60,F,1189,B-,CHRISTIAN,216255,MALARIA,ANDHRA PRADESH,517520
ROHAAN,69,M,1754,O-,SIKH,220511,DIABETES,ANDHRA PRADESH,534146
CONLEY,91,F,1454,O+,CHRISTIAN,213600,HEPATITIS,WEST BENGAL,723126
SALTER,69,F,1571,AB+,SIKH,207720,CHICKEN POX,UTTAR PRADESH,284402
DARCY,84,M,1037,A+,HINDU,209396,CHICKEN POX,MAHARASHTRA,421505
JEAN-PIERRE,58,M,1231,O+,SIKH,217253,BRAIN TUMOUR,KARNATAKA,571436
REMY,76,M,1037,A-,CHRISTIAN,200632,DIARRHEA,UTTARAKHAND,263652
SHADOW,52,M,1811,AB+,MUSLIM,226940,DIARRHEA,BIHAR,821105
WEI,72,M,1752,B-,CHRISTIAN,209168,MALARIA,PUNJAB,152024
SHIRAZ,59,M,1919,A+,MUSLIM,208985,HYPERTENSION,ANDHRA PRADESH,517589
EHSEN,37,F,1317,B-,HINDU,214565,DIABETES,PUNJAB,151506
FLYN,37,M,1665,A+,MUSLIM,218838,EBOLA,ANDHRA PRADESH,522315
ALPHONSE,17,F,1872,O-,MUSLIM,206125,DENGUE,HIMACHAL PRADESH,173027
TALIESIN,74,M,1720,O+,MUSLIM,208548,TYPHOID,HIMACHAL PRADESH,177110
DILRAJ,55,M,1192,O-,MUSLIM,203570,HYPERTENSION,RAJASTHAN,313201
EFAN,93,M,1428,B-,HINDU,229173,MEASLES,ANDHRA PRADESH,517128
SAYF,56,M,1981,A-,HINDU,226896,CANCER,ANDHRA PRADESH,534208
RUARAIDH,16,M,1068,O+,HINDU,209815,DIARRHEA,ANDHRA PRADESH,534313
JOE,18,F,1450,A+,HINDU,206292,CHICKEN POX,ANDHRA PRADESH,515812
CONLAN,34,M,1587,B+,MUSLIM,204901,STROKE,ANDHRA PRADESH,516464
DEKLAIN-JAIMES,45,M,1489,AB+,MUSLIM,231884,STROKE,ANDHRA PRADESH,515445
GYTIS,33,F,1413,B+,CHRISTIAN,209759,DENGUE,ANDHRA PRADESH,523333
CORI,15,F,1393,O-,MUSLIM,232156,TETANUS,KERALA,691574
ENIOLA,47,M,1909,B-,MUSLIM,202486,MEASLES,BIHAR,821104
DOUGAL,20,M,1701,AB+,CHRISTIAN,230138,DIABETES,HARYANA,125033
WILSON,49,F,1667,AB+,CHRISTIAN,214703,DENGUE,BIHAR,821109
GLENN,15,F,1884,AB+,HINDU,214199,EBOLA,BIHAR,845455
TEYDREN,73,M,1900,AB-,CHRISTIAN,205762,HEART ATTACK,ANDHRA PRADESH,521120
SANAULLAH,66,F,1557,B+,CHRISTIAN,210395,CHICKEN POX,ASSAM,787026
JAYDEN-JAMES,55,F,1369,O+,SIKH,209638,INFLUENZA,ANDHRA PRADESH,521170
DEVLYN,18,F,1184,B-,CHRISTIAN,227160,DENGUE,ANDHRA PRADESH,523211
SHAHMIR,82,F,1724,O+,HINDU,201443,SWINE FLU,ANDHRA PRADESH,535502
XIN,40,F,1201,B+,SIKH,214467,SMALL POX,ANDHRA PRADESH,531040
ABDULKHADER,63,F,1782,B+,HINDU,226429,ASTHMA,KERALA,670650
RAMONE,75,M,1535,A-,SIKH,232495,CANCER,HIMACHAL PRADESH,176073
COREY-JAY,60,F,1167,A+,CHRISTIAN,226979,HEART ATTACK,ANDHRA PRADESH,534206
REIGAN,31,F,1092,B+,HINDU,225746,DIABETES,ANDHRA PRADESH,535522
ANNAN,21,F,1441,O-,SIKH,231904,HEART ATTACK,ANDHRA PRADESH,535281
TYLLOR,83,M,1155,AB-,CHRISTIAN,212689,INFLUENZA,BIHAR,821101
JAMEEL,18,F,1029,O+,HINDU,203722,JAUNDICE,PUNJAB,146024
JEZ,52,F,1025,O+,CHRISTIAN,230109,BRAIN TUMOUR,MAHARASHTRA,421203
GUTHRIE,80,M,1312,A-,CHRISTIAN,219398,CHOLERA,HIMACHAL PRADESH,176111
ALBER,93,M,1363,B-,MUSLIM,204336,MEASLES,ANDHRA PRADESH,522503
RHEO,19,M,1137,A+,CHRISTIAN,220117,DIARRHEA,ANDHRA PRADESH,521002
RYAAN,84,M,1388,A+,CHRISTIAN,213261,CANCER,ANDHRA PRADESH,523157
VALERY,76,M,1442,B-,MUSLIM,210925,HEART ATTACK,UTTAR PRADESH,209202
DAYEM,25,F,1988,O-,CHRISTIAN,215580,INFLUENZA,ANDHRA PRADESH,533294
DONALD,79,M,1318,O-,HINDU,230218,CANCER,ANDHRA PRADESH,523301
REED,74,M,1110,A-,SIKH,217020,HYPERTENSION,PUNJAB,140201
CODI,28,M,1410,O+,CHRISTIAN,220648,CANCER,KERALA,680541
DUGALD,92,F,1451,A-,SIKH,223125,DIABETES,ANDHRA PRADESH,521332
JOHN,54,F,1866,A+,SIKH,209965,EBOLA,ANDHRA PRADESH,517213
CRUIZ,39,M,1948,A-,CHRISTIAN,204167,CHOLERA,UTTAR PRADESH,273407
FODEBA,78,M,1109,A+,MUSLIM,222942,MALARIA,ANDHRA PRADESH,521331
ROWEN,78,M,1441,AB-,CHRISTIAN,225024,CHOLERA,BIHAR,803107
ADENN,77,M,1026,B+,MUSLIM,209034,HYPERTENSION,ANDHRA PRADESH,515455
JAYDEN-LEE,19,M,1073,A-,CHRISTIAN,202810,MEASLES,JHARKHAND,825412
ANSELM,16,M,1751,AB-,CHRISTIAN,205339,HEART ATTACK,WEST BENGAL,712403
ROBBIE,37,M,1127,B+,MUSLIM,214381,TETANUS,ANDHRA PRADESH,515004
UZAYR,52,M,1408,B+,CHRISTIAN,222929,RABIES,SIKKIM,737111
JAYDON,34,F,1537,A-,HINDU,207285,BRAIN TUMOUR,MAHARASHTRA,422605
JAYMIE,51,F,1546,O+,MUSLIM,217591,JAUNDICE,UTTAR PRADESH,262906
STEPHENJUNIOR,17,M,1586,AB+,CHRISTIAN,218972,DENGUE,HARYANA,125052
CIANN,53,F,1610,AB+,MUSLIM,202514,CANCER,ANDHRA PRADESH,518123
SERGIO,42,M,1073,AB-,MUSLIM,228360,RABIES,ANDHRA PRADESH,535557
JACKY,79,M,1448,B-,SIKH,216990,RABIES,ANDHRA PRADESH,532186
EONAN,24,M,1858,A+,MUSLIM,219091,HEPATITIS,JHARKHAND,835235
RIHAB,31,F,1212,B-,MUSLIM,220177,AIDS,PUNJAB,144701
TREY,19,M,1381,O-,SIKH,228954,ARTHRITIS,ANDHRA PRADESH,515571
ALFIE,86,M,1138,B-,CHRISTIAN,230767,MEASLES,TAMIL NADU,602002
ABDUR,69,M,1295,B-,MUSLIM,228284,SWINE FLU,HARYANA,135003
TORRAN,67,M,1336,B+,CHRISTIAN,215454,HEPATITIS,HIMACHAL PRADESH,176318
JOHNSON,30,M,1225,AB-,HINDU,217537,MEASLES,UTTAR PRADESH,209101
JED,75,M,1905,O+,CHRISTIAN,210632,HEART ATTACK,HIMACHAL PRADESH,174101
RICHARD,27,M,1708,AB+,HINDU,223083,STROKE,PUNJAB,143601
TURNER,77,M,1539,AB+,SIKH,216342,HEPATITIS,BIHAR,845107
RAITHIN,42,M,1330,A+,CHRISTIAN,229012,ARTHRITIS,PUNJAB,144208
COBAIN,69,M,1884,O+,MUSLIM,206493,TETANUS,ASSAM,781364
ENIS,47,M,1895,AB+,HINDU,218692,DENGUE,ASSAM,784167
ENG,38,M,1018,A-,HINDU,229795,CHICKEN POX,ANDHRA PRADESH,516434
FRUIN,52,F,1647,AB-,HINDU,217362,ASTHMA,UTTAR PRADESH,285123
HADJI,16,F,1386,AB-,MUSLIM,214940,CANCER,ANDHRA PRADESH,531028
VICTOR,38,F,1048,AB-,HINDU,206130,MALARIA,ANDHRA PRADESH,515751
EIHLI,56,M,1663,O+,MUSLIM,226355,SWINE FLU,DELHI,110058
HADJI,31,M,1492,B-,MUSLIM,222343,HEART ATTACK,ANDHRA PRADESH,534416
EUAN,21,M,1809,AB+,CHRISTIAN,232403,RABIES,BIHAR,821101
RUO,44,F,1010,A+,SIKH,213278,HYPERTENSION,UTTAR PRADESH,273407
RYLAN,51,M,1381,B+,HINDU,217646,TETANUS,TAMIL NADU,631210
JIAO,84,F,1606,AB+,CHRISTIAN,208342,SWINE FLU,JHARKHAND,825401
CONLON,90,F,1207,O+,HINDU,200024,HYPERTENSION,ANDHRA PRADESH,515154
JONOTHAN,86,M,1280,O-,HINDU,208588,CHICKEN POX,HIMACHAL PRADESH,177112
SHEAFAN,79,F,1099,O+,SIKH,208098,SWINE FLU,ANDHRA PRADESH,516349
ARNAV,42,F,1189,O+,CHRISTIAN,218298,HYPERTENSION,HIMACHAL PRADESH,173029
JASIM,43,F,1416,O+,SIKH,214471,TYPHOID,PUNJAB,144804
UILLEAM,24,M,1248,B-,CHRISTIAN,222213,SWINE FLU,ANDHRA PRADESH,515871
JARL,50,F,1839,B-,CHRISTIAN,231547,SMALL POX,HIMACHAL PRADESH,174024
AIDEN,23,M,1221,B-,HINDU,203529,CANCER,KARNATAKA,560011
ESSA,74,F,1888,AB-,SIKH,223840,HYPERTENSION,KERALA,689612
GRAYSON,74,M,1196,AB+,HINDU,211531,ASTHMA,HIMACHAL PRADESH,174001
ZAK,84,F,1538,O+,SIKH,230028,MALARIA,HIMACHAL PRADESH,176303
TAIWO,88,F,1870,B+,CHRISTIAN,211891,AIDS,PUNJAB,144527
ERONI,36,M,1059,A-,HINDU,210002,ASTHMA,KERALA,678508
CONGHAILE,40,F,1000,O-,HINDU,204202,JAUNDICE,HIMACHAL PRADESH,175106
TYLER,64,M,1820,AB+,HINDU,229655,STROKE,ASSAM,788710
SAIFADDINE,32,M,1030,AB+,CHRISTIAN,216811,HYPERTENSION,PUNJAB,144521
TEEJAY,53,F,1537,AB+,HINDU,205890,EBOLA,JHARKHAND,825106
AREF,41,F,1367,B+,MUSLIM,226913,SMALL POX,ANDHRA PRADESH,524408
ANTHONY,92,M,1800,A+,HINDU,221821,STROKE,HIMACHAL PRADESH,175121
GUANG,61,F,1876,B-,CHRISTIAN,231565,DIARRHEA,MAHARASHTRA,442111
DYLLON,94,F,1887,A+,SIKH,208181,HYPERTENSION,ANDHRA PRADESH,532407
DENON,18,M,1178,O+,HINDU,213175,HYPERTENSION,ANDHRA PRADESH,523165
VINH,91,F,1810,O-,MUSLIM,232533,JAUNDICE,HIMACHAL PRADESH,173104
CONLON,48,M,1960,A-,MUSLIM,212512,TYPHOID,MAHARASHTRA,402101
ROBIN,37,M,1499,O-,SIKH,211847,RABIES,ANDHRA PRADESH,523327
AON,58,F,1531,AB-,SIKH,228796,DENGUE,KERALA,670662
SORLEY,18,M,1351,A+,MUSLIM,229661,DIABETES,ANDHRA PRADESH,533463
GRAHAME,60,M,1001,AB+,HINDU,210168,INFLUENZA,ANDHRA PRADESH,522211
ESHAN,92,F,1576,O+,MUSLIM,231323,EBOLA,KERALA,673592
ENG,31,M,1581,AB+,SIKH,228748,TYPHOID,ANDHRA PRADESH,517583
GEORDIE,41,M,1797,B-,MUSLIM,212367,HYPERTENSION,UTTAR PRADESH,271312
AIREN,47,F,1245,B+,SIKH,228761,HYPERTENSION,ANDHRA PRADESH,516321
KADEN,38,M,1322,B-,SIKH,208732,DIABETES,KERALA,678684
DAUMANTAS,74,M,1559,A-,SIKH,201096,RABIES,ANDHRA PRADESH,535270
HARI,35,F,1828,AB-,MUSLIM,215328,SMALL POX,KARNATAKA,571312
RIHONN,33,M,1679,AB+,HINDU,216782,JAUNDICE,UTTAR PRADESH,273409
DARREN,70,M,1994,B-,SIKH,222007,AIDS,NAGALAND,797106
GREIG,48,M,1058,O+,SIKH,223873,INFLUENZA,ANDHRA PRADESH,517641
JOSHUA,81,M,1276,B+,MUSLIM,225777,MALARIA,ANDHRA PRADESH,518166
DANE,26,M,1125,AB+,SIKH,216286,AIDS,ANDHRA PRADESH,524346
JAYDEN,90,M,1438,AB-,SIKH,201462,ASTHMA,PUNJAB,143520
JAMAL,26,M,1352,O+,CHRISTIAN,224970,SWINE FLU,TAMIL NADU,602105
ABHINAV,35,F,1135,B-,HINDU,213025,TYPHOID,ANDHRA PRADESH,535521
WARRICK,72,M,1512,A+,SIKH,224211,MEASLES,ANDHRA PRADESH,524312
JUDE,39,M,1129,B+,SIKH,230123,CANCER,HIMACHAL PRADESH,172023
DAVY,70,F,1687,O-,CHRISTIAN,213331,MALARIA,UTTAR PRADESH,285202
DUSTIN,16,F,1346,A-,HINDU,220232,TETANUS,HIMACHAL PRADESH,176058
JAE,47,F,1417,AB-,CHRISTIAN,215053,DIABETES,ANDHRA PRADESH,517590
JAISE,21,F,1554,A+,SIKH,207239,CHICKEN POX,ASSAM,784176
JAYHAN,46,M,1453,AB+,HINDU,212936,BRAIN TUMOUR,ANDHRA PRADESH,534102
DAYMIAN,39,M,1703,AB+,SIKH,225568,CHICKEN POX,ANDHRA PRADESH,532455
FREDERICK,35,F,1649,AB+,HINDU,232505,STROKE,ANDHRA PRADESH,515641
AIRIDAS,78,M,1411,B+,SIKH,218718,DIARRHEA,ANDHRA PRADESH,533428
CIANN,88,F,1813,B-,HINDU,217222,INFLUENZA,ANDHRA PRADESH,534112
TYREE,22,F,1214,B-,CHRISTIAN,214821,INFLUENZA,KERALA,670673
TRE,35,F,1177,A-,SIKH,213465,EBOLA,PUNJAB,142031
ZEPH,82,M,1223,B+,CHRISTIAN,214024,MEASLES,HARYANA,125121
ARFIN,63,F,1441,O+,HINDU,216368,JAUNDICE,JHARKHAND,835201
JORDY,58,M,1540,A-,CHRISTIAN,210630,DIABETES,BIHAR,843129
JOEDDY,87,F,1963,AB+,HINDU,228552,JAUNDICE,JHARKHAND,825322
DYLAN-JAMES,93,F,1129,A+,HINDU,207580,CHICKEN POX,ANDHRA PRADESH,523260
FINLEY,17,F,1042,B+,HINDU,210989,MALARIA,UTTARAKHAND,262530
RALPH,22,F,1179,O+,SIKH,210426,AIDS,ANDHRA PRADESH,532427
RUARAIDH,93,F,1535,O-,SIKH,227750,AIDS,HARYANA,135133
JOSESE,76,M,1193,A-,SIKH,215816,SMALL POX,ANDHRA PRADESH,532455
ZAKARY,25,F,1669,AB-,MUSLIM,202633,DIARRHEA,PUNJAB,142052
CONNAL,25,F,1611,O-,HINDU,227395,JAUNDICE,HIMACHAL PRADESH,177033
FRAZER,79,M,1625,A+,HINDU,219635,HEART ATTACK,ASSAM,788113
TALHA,77,M,1418,A+,HINDU,221788,STROKE,KERALA,686606
VUYOLWETHU,47,F,1239,B+,CHRISTIAN,207244,HEART ATTACK,HARYANA,121103
SIDHARTH,26,F,1632,O-,MUSLIM,214716,RABIES,UTTAR PRADESH,284406
VINAY,25,M,1865,AB-,HINDU,206601,DIABETES,ANDHRA PRADESH,522412
ALED,70,F,1473,AB+,SIKH,206990,DIABETES,DELHI,110062
DAVY,94,F,1844,B+,SIKH,225367,MEASLES,ANDHRA PRADESH,531162
SHREYAS,38,F,1157,A-,HINDU,200071,STROKE,ANDHRA PRADESH,515401
AMGAD,24,M,1708,A-,MUSLIM,213353,DIARRHEA,BIHAR,843112
EWAN,56,F,1559,O+,HINDU,218569,CHICKEN POX,UTTAR PRADESH,285127
THOMAS-JAY,38,M,1947,O-,HINDU,223489,ASTHMA,DELHI,110034
JERRY,61,M,1857,AB+,CHRISTIAN,202585,MEASLES,UTTAR PRADESH,273306
JURA,38,F,1963,O+,MUSLIM,214311,CHOLERA,ANDHRA PRADESH,533213
DARREN,84,F,1266,A-,MUSLIM,231687,CANCER,ANDHRA PRADESH,532407
FINLEY,33,M,1029,B-,MUSLIM,226639,ARTHRITIS,HIMACHAL PRADESH,175106
RIHONN,40,F,1496,B+,HINDU,211999,JAUNDICE,PUNJAB,144009
